location_code,hora,cantidad,sentido,latitud,longitud
"48Q3FG00+","2020-05-01T03:00:00-0300",114,"Egreso",-34.53698,-58.470968
"48Q3FG00+","2020-05-01T03:00:00-0300",66,"Ingreso",-34.53698,-58.470968
"48Q3FG00+","2020-05-01T03:00:00-0300",36,"Interna",-34.53698,-58.470968
"48Q37G00+","2020-05-01T04:00:00-0300",18,"Egreso",-34.706,-58.466
"48Q37G00+","2020-05-01T04:00:00-0300",51,"Ingreso",-34.706,-58.466
"48Q38F00+","2020-05-01T04:00:00-0300",109,"Egreso",-34.665107,-58.513913
"48Q38F00+","2020-05-01T04:00:00-0300",74,"Ingreso",-34.665107,-58.513913
"48Q38G00+","2020-05-01T04:00:00-0300",187,"Egreso",-34.693438,-58.476251
"48Q38G00+","2020-05-01T04:00:00-0300",79,"Ingreso",-34.693438,-58.476251
"48Q38H00+","2020-05-01T04:00:00-0300",31,"Egreso",-34.657675,-58.430406
"48Q38H00+","2020-05-01T04:00:00-0300",87,"Ingreso",-34.657675,-58.430406
"48Q38J00+","2020-05-01T04:00:00-0300",35,"Egreso",-34.653279,-58.382039
"48Q38J00+","2020-05-01T04:00:00-0300",178,"Ingreso",-34.653279,-58.382039
"48Q39F00+","2020-05-01T04:00:00-0300",97,"Egreso",-34.637576,-58.529494
"48Q39F00+","2020-05-01T04:00:00-0300",223,"Ingreso",-34.637576,-58.529494
"48Q39G00+","2020-05-01T04:00:00-0300",455,"Egreso",-34.633299,-58.468594
"48Q39G00+","2020-05-01T04:00:00-0300",552,"Ingreso",-34.633299,-58.468594
"48Q39G00+","2020-05-01T04:00:00-0300",54,"Interna",-34.633299,-58.468594
"48Q39H00+","2020-05-01T04:00:00-0300",300,"Interna",-34.618036,-58.410236
"48Q39J00+","2020-05-01T04:00:00-0300",3,"Egreso",-34.60855,-58.372951
"48Q39J00+","2020-05-01T04:00:00-0300",23,"Ingreso",-34.60855,-58.372951
"48Q39J00+","2020-05-01T04:00:00-0300",2418,"Interna",-34.60855,-58.372951
"48Q3CF00+","2020-05-01T04:00:00-0300",77,"Egreso",-34.583119,-58.515753
"48Q3CF00+","2020-05-01T04:00:00-0300",106,"Ingreso",-34.583119,-58.515753
"48Q3CG00+","2020-05-01T04:00:00-0300",42,"Egreso",-34.589125,-58.484717
"48Q3CG00+","2020-05-01T04:00:00-0300",11,"Ingreso",-34.589125,-58.484717
"48Q3CH00+","2020-05-01T04:00:00-0300",10,"Egreso",-34.579632,-58.427733
"48Q3CH00+","2020-05-01T04:00:00-0300",35,"Ingreso",-34.579632,-58.427733
"48Q3CH00+","2020-05-01T04:00:00-0300",113,"Interna",-34.579632,-58.427733
"48Q3CJ00+","2020-05-01T04:00:00-0300",144,"Egreso",-34.588796,-58.38152
"48Q3CJ00+","2020-05-01T04:00:00-0300",140,"Ingreso",-34.588796,-58.38152
"48Q3CJ00+","2020-05-01T04:00:00-0300",39,"Interna",-34.588796,-58.38152
"48Q3FG00+","2020-05-01T04:00:00-0300",120,"Egreso",-34.53698,-58.470968
"48Q3FG00+","2020-05-01T04:00:00-0300",115,"Ingreso",-34.53698,-58.470968
"48Q3FG00+","2020-05-01T04:00:00-0300",33,"Interna",-34.53698,-58.470968
"48Q37G00+","2020-05-01T05:00:00-0300",28,"Egreso",-34.706,-58.466
"48Q37G00+","2020-05-01T05:00:00-0300",79,"Ingreso",-34.706,-58.466
"48Q38F00+","2020-05-01T05:00:00-0300",168,"Egreso",-34.665107,-58.513913
"48Q38F00+","2020-05-01T05:00:00-0300",193,"Ingreso",-34.665107,-58.513913
"48Q38G00+","2020-05-01T05:00:00-0300",316,"Egreso",-34.693438,-58.476251
"48Q38G00+","2020-05-01T05:00:00-0300",166,"Ingreso",-34.693438,-58.476251
